in total there are 13949 words in the development set
out of which your classifier mislabeled 1919

If I had labeled all words as non-entity, I would have mislabeled 2004

The following features have been used:

pos
find_Names


Decision tree:
pos=ADJ? .............................................. O
pos=ADP? .............................................. O
pos=ADP+PRON? ......................................... O
pos=ADV? .............................................. O
pos=ADV+PART? ......................................... O
pos=AUX? .............................................. O
pos=AUX+PRON? ......................................... O
pos=CONJ? ............................................. O
pos=DET? .............................................. O
pos=INTJ? ............................................. O
pos=NOUN? ............................................. O
pos=NUM? .............................................. O
pos=PART? ............................................. O
pos=PART+AUX? ......................................... O
pos=PART+VERB? ........................................ O
pos=PRON? ............................................. O
pos=PRON+PART? ........................................ O
pos=PRON+PRON? ........................................ O
pos=PRON+VERB? ........................................ O
pos=PROPN? ............................................ B-EntityPER
pos=PUNCT? ............................................ O
pos=SCONJ? ............................................ O
pos=SPUNCT? ........................................... O
pos=VERB? ............................................. O
pos=VERB+PRON? ........................................ O


correct=B-EntityLOC guess=B-EntityPER word=Arâbî                         
correct=B-EntityLOC guess=B-EntityPER word=Azagouc                       
correct=B-EntityLOC guess=B-EntityPER word=Bertâne                       
correct=B-EntityLOC guess=B-EntityPER word=Brandigân                     
correct=B-EntityLOC guess=B-EntityPER word=Brizljân                      
correct=B-EntityLOC guess=B-EntityPER word=Brumbâne                      
correct=B-EntityLOC guess=B-EntityPER word=Bêâlzenân                     
correct=B-EntityLOC guess=B-EntityPER word=Dîanazdrûn                    
correct=B-EntityLOC guess=B-EntityPER word=Dîanazdrûn                    
correct=B-EntityLOC guess=B-EntityPER word=Dôlet                         
correct=B-EntityLOC guess=B-EntityPER word=Gaheviez                      
correct=B-EntityLOC guess=B-EntityPER word=Gaheviez                      
correct=B-EntityLOC guess=B-EntityPER word=Grâharz                       
correct=B-EntityLOC guess=B-EntityPER word=Iserterre                     
correct=B-EntityLOC guess=B-EntityPER word=Karminâl                      
correct=B-EntityLOC guess=B-EntityPER word=Karnant                       
correct=B-EntityLOC guess=B-EntityPER word=Lac                           
correct=B-EntityLOC guess=B-EntityPER word=Lac                           
correct=B-EntityLOC guess=B-EntityPER word=Löver                         
correct=B-EntityLOC guess=B-EntityPER word=Munsalvaesche                 
correct=B-EntityLOC guess=B-EntityPER word=Munsalvaesche                 
correct=B-EntityLOC guess=B-EntityPER word=Ninnivê                       
correct=B-EntityLOC guess=B-EntityPER word=Pelrapeir                     
correct=B-EntityLOC guess=B-EntityPER word=Pelrapeir                     
correct=B-EntityLOC guess=B-EntityPER word=Pelrapeire                    
correct=B-EntityLOC guess=B-EntityPER word=Pelrapeire                    
correct=B-EntityLOC guess=B-EntityPER word=Pelrapeire                    
correct=B-EntityLOC guess=B-EntityPER word=Pelrapeire                    
correct=B-EntityLOC guess=B-EntityPER word=Sessûn                        
correct=B-EntityLOC guess=B-EntityPER word=Spehteshart                   
correct=B-EntityLOC guess=B-EntityPER word=Tenabroc                      
correct=B-EntityLOC guess=B-EntityPER word=Wildenberc                    
correct=B-EntityLOC guess=O        word=Dîn                           
correct=B-EntityLOC guess=O        word=Kailetes                      
correct=B-EntityLOC guess=O        word=Munsalvaesche                 
correct=B-EntityLOC guess=O        word=Pelrapeire                    
correct=B-EntityLOC guess=O        word=Ufem                          
correct=B-EntityLOC guess=O        word=al                            
correct=B-EntityLOC guess=O        word=burc                          
correct=B-EntityLOC guess=O        word=daz                           
correct=B-EntityLOC guess=O        word=daz                           
correct=B-EntityLOC guess=O        word=daz                           
correct=B-EntityLOC guess=O        word=daz                           
correct=B-EntityLOC guess=O        word=daz                           
correct=B-EntityLOC guess=O        word=dem                           
correct=B-EntityLOC guess=O        word=dem                           
correct=B-EntityLOC guess=O        word=dem                           
correct=B-EntityLOC guess=O        word=dem                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=den                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=der                           
correct=B-EntityLOC guess=O        word=des                           
correct=B-EntityLOC guess=O        word=des                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=die                           
correct=B-EntityLOC guess=O        word=dise                          
correct=B-EntityLOC guess=O        word=disem                         
correct=B-EntityLOC guess=O        word=diu                           
correct=B-EntityLOC guess=O        word=durchez                       
correct=B-EntityLOC guess=O        word=dîn                           
correct=B-EntityLOC guess=O        word=eime                          
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=ein                           
correct=B-EntityLOC guess=O        word=eine                          
correct=B-EntityLOC guess=O        word=eine                          
correct=B-EntityLOC guess=O        word=eine                          
